-26.133	  80.784	 -4.0011
26.133	  80.784	 -4.0011
-68.423	  49.871	 -7.4895
-48.2	  57.551	   39.87
0	  60.738	  59.463
48.143	  57.584	  39.892
68.384	  49.927	 -7.4851
-80.41	  26.208	 -8.5086
-59.275	  30.955	  52.471
0	  32.928	  78.363
59.275	  30.955	  52.471
80.41	  26.208	 -8.5086
-84.539	       0	 -8.8451
-63.171	       0	  56.872
0	       0	      85
63.167	       0	  56.876
84.539	       0	 -8.8451
-80.41	 -26.208	 -8.5086
-59.275	 -30.955	  52.471
0	 -32.928	  78.363
59.275	 -30.955	  52.471
80.385	 -26.285	 -8.5057
-68.423	 -49.871	 -7.4895
-48.2	 -57.551	   39.87
0	 -60.738	  59.463
48.143	 -57.584	  39.892
68.384	 -49.927	 -7.4851
-26.133	 -80.784	 -4.0011
0	 -84.981	  -1.786
26.133	 -80.784	 -4.0011
